Ref,Val,Package,PosX (mm),PosY (mm),Rot,Side
C1,4.7uF,C_0805_2012Metric,186,-114,90,top
C2,4.7uF,C_0805_2012Metric,148,-90.5,90,top
C3,4.7uF,C_0805_2012Metric,160.5,-105.75,-90,top
C7,2.2uF,C_0805_2012Metric,188.9192,-97.6525,0,top
C8,130pF,C_0805_2012Metric,187.9192,-104.7,90,top
C9,10uF,C_0805_2012Metric,183.4192,-101.6525,0,top
C10,10uF,C_0805_2012Metric,181.6,-85.4,-90,top
C11,22uF,C_0805_2012Metric,187.5,-81.5,0,top
C12,22uF,C_0805_2012Metric,183,-81.5,180,top
C13,2.2uF,C_0805_2012Metric,202.35,-98.8,0,top
C14,22uF,C_0805_2012Metric,208.5875,-101.3,0,top
C15,1nF,C_0805_2012Metric,196.5875,-104.3,0,top
C16,22uF,C_0805_2012Metric,197.6,-101.5,-90,top
C17,0.1uF,C_0805_2012Metric,127,-95.25,0,top
C18,0.1uF,C_0805_2012Metric,136.5,-124.5,90,top
C19,0.1uF,C_0805_2012Metric,145.845951,-74.5,90,top
C20,0.1uF,C_0805_2012Metric,145.845951,-90.5,90,top
C21,0.1uF,C_0805_2012Metric,145.845951,-106.5,90,top
C22,0.1uF,C_0805_2012Metric,145.845951,-122.5,90,top
C23,0.01uF,C_0805_2012Metric,149,-86.5,0,top
C24,0.1uF,C_0805_2012Metric,141.845951,-86.5,0,top
C25,0.1uF,C_0805_2012Metric,155.845951,-75,90,top
C26,0.1uF,C_0805_2012Metric,156.845951,-86.5,0,top
C27,0.01uF,C_0805_2012Metric,169,-86.5,0,top
C28,0.1uF,C_0805_2012Metric,161.845951,-86.5,0,top
C29,0.1uF,C_0805_2012Metric,175.845951,-75,90,top
C30,0.1uF,C_0805_2012Metric,176.845951,-86.5,0,top
C31,0.01uF,C_0805_2012Metric,149,-102.5,0,top
C32,0.1uF,C_0805_2012Metric,141.845951,-102.5,0,top
C33,0.1uF,C_0805_2012Metric,155.845951,-91,90,top
C34,0.1uF,C_0805_2012Metric,156.845951,-102.5,0,top
C35,0.01uF,C_0805_2012Metric,169,-102.5,0,top
C36,0.1uF,C_0805_2012Metric,161.845951,-102.5,0,top
C37,0.1uF,C_0805_2012Metric,175.845951,-91,90,top
C38,0.1uF,C_0805_2012Metric,176.845951,-102.5,0,top
C39,0.01uF,C_0805_2012Metric,149,-118.5,0,top
C40,0.1uF,C_0805_2012Metric,141.845951,-118.5,0,top
C41,0.1uF,C_0805_2012Metric,155.845951,-107,90,top
C42,0.1uF,C_0805_2012Metric,156.845951,-118.5,0,top
C43,0.01uF,C_0805_2012Metric,169,-118.5,0,top
C44,0.1uF,C_0805_2012Metric,161.845951,-118.5,0,top
C45,0.1uF,C_0805_2012Metric,175.845951,-107,90,top
C46,0.1uF,C_0805_2012Metric,176.845951,-118.5,0,top
C47,0.01uF,C_0805_2012Metric,149,-134.5,0,top
C48,0.1uF,C_0805_2012Metric,141.845951,-134.5,0,top
C49,0.1uF,C_0805_2012Metric,155.845951,-123,90,top
C50,0.1uF,C_0805_2012Metric,156.845951,-134.5,0,top
C51,0.01uF,C_0805_2012Metric,169,-134.5,0,top
C52,0.1uF,C_0805_2012Metric,161.845951,-134.5,0,top
C53,0.1uF,C_0805_2012Metric,175.845951,-123,90,top
C54,0.1uF,C_0805_2012Metric,176.845951,-134.5,0,top
C55,0.1uF,C_0805_2012Metric,188,-114,90,top
C56,2.2uF,C_0805_2012Metric,190,-114,90,top
C57,0.1uF,C_0805_2012Metric,184,-130,-90,top
C58,0.1uF,C_0805_2012Metric,186,-130,-90,top
C59,0.1uF,C_0805_2012Metric,197,-122.9,0,top
C60,0.1uF,C_0805_2012Metric,188,-130,-90,top
C61,47uF,C_0805_2012Metric,190,-130,-90,top
D1,CDSOD323-T05,D_SOD-323_HandSoldering,192.25,-84,180,top
